ID_Cliente,Cancelacion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Suscripcion_Servicio_Telefono,Suscripcion_Multiples_Lineas,Suscripcion_Servicio_Internet,Suscripcion_Seguridad_En_Linea,Suscripcion_Respaldo_En_Linea,Suscripcion_Proteccion_Dispositivo,Suscripcion_Soporte_Técnico,Suscripcion_TV_Streaming,Suscripcion_Películas_Streaming,Tipo_Contrato,Factura_Electronica,Metodo_Pago,Factura_Mensual,Cargos_Totales,Cuentas_diarias
1723-HKXJQ,yes,Male,0,no,no,42,yes,yes,Fiber optic,No,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,101.75,4273.45,3.4
1724-BQUHA,yes,Male,1,no,no,5,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Electronic check,89.5,477.7,3.0
1724-IQWNM,no,Male,0,no,yes,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Mailed check,19.3,19.3,0.6
1725-IQNIY,yes,Male,0,yes,no,54,yes,no,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,no,Bank transfer (automatic),109.75,6110.2,3.7
1725-MIMXW,yes,Male,0,no,yes,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Mailed check,19.45,19.45,0.6
1728-BQDMA,no,Female,0,no,no,2,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,44.45,82.7,1.5
1728-CXQBE,no,Male,1,yes,no,64,yes,yes,Fiber optic,No,yes,yes,no,no,yes,Month-to-month,yes,Electronic check,94.25,6081.4,3.1
1729-VLAZJ,no,Female,0,no,yes,10,no,no,DSL,Yes,yes,no,yes,no,no,One year,no,Mailed check,40.25,411.45,1.3
1730-VFMWO,no,Female,0,yes,no,34,yes,no,DSL,No,no,no,yes,no,no,Month-to-month,no,Bank transfer (automatic),50.2,1815.3,1.7
1730-ZMAME,no,Female,1,no,no,32,yes,no,Fiber optic,No,no,no,no,no,yes,Month-to-month,yes,Electronic check,79.5,2665.0,2.6
1731-TVIUK,yes,Female,0,no,no,4,yes,yes,Fiber optic,No,yes,no,yes,no,yes,Month-to-month,yes,Electronic check,93.5,362.2,3.1
1732-FEKLD,no,Female,0,no,no,54,yes,yes,Fiber optic,No,yes,yes,no,yes,no,One year,yes,Bank transfer (automatic),94.75,5121.75,3.2
1732-VHUBQ,yes,Female,1,yes,yes,47,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,no,Bank transfer (automatic),70.55,3309.25,2.4
1734-ZMNTZ,no,Female,0,yes,yes,11,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,25.0,300.7,0.8
1735-XMJVH,no,Male,0,yes,yes,8,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Mailed check,19.35,152.6,0.6
1740-CSDJP,yes,Male,0,no,no,1,no,no,DSL,No,no,no,no,no,yes,Month-to-month,yes,Bank transfer (automatic),35.25,35.25,1.2
1741-WTPON,no,Male,0,yes,yes,56,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,no,Mailed check,115.85,6567.9,3.9
1744-JHKYS,no,Female,0,yes,no,34,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Electronic check,24.7,780.2,0.8
1746-TGTWV,no,Male,0,yes,no,1,yes,no,Fiber optic,No,no,yes,no,no,no,Month-to-month,no,Credit card (automatic),75.35,75.35,2.5
1750-CSKKM,yes,Male,0,no,yes,9,yes,no,DSL,No,no,no,no,yes,no,Month-to-month,no,Electronic check,55.35,449.75,1.8
1751-NCDLI,no,Male,1,yes,no,46,yes,yes,Fiber optic,No,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,98.85,4564.9,3.3
1752-OZXFY,no,Male,0,yes,no,60,yes,no,DSL,Yes,no,no,no,yes,no,One year,yes,Mailed check,59.8,3561.15,2.0
1754-GKYPY,no,Male,1,yes,no,22,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),89.75,1938.9,3.0
1755-FZQEC,no,Male,0,no,no,39,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,19.9,791.15,0.7
1755-RMCXH,no,Male,0,yes,yes,2,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.3,40.25,0.7
1757-TCATG,no,Male,0,yes,yes,35,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),20.05,746.75,0.7
1760-CAZHT,no,Male,0,no,yes,25,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.8,460.2,0.7
1761-AEZZR,yes,Male,0,no,no,1,yes,no,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,79.55,79.55,2.7
1763-KUAAW,no,Female,1,no,no,18,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),20.35,369.6,0.7
1763-WQFUK,no,Male,0,no,no,3,yes,no,DSL,No,no,no,yes,no,no,Month-to-month,yes,Mailed check,50.5,147.75,1.7
1764-VUUMT,no,Male,0,no,yes,66,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),19.95,1269.1,0.7
1766-GKNMI,no,Male,0,no,no,29,yes,yes,Fiber optic,No,no,no,no,no,yes,Month-to-month,yes,Electronic check,84.9,2516.2,2.8
1767-CJKBA,no,Male,0,no,no,66,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,25.1,1697.7,0.8
1767-TGTKO,no,Female,0,yes,yes,8,yes,no,DSL,No,no,no,no,no,no,Month-to-month,yes,Electronic check,45.45,411.75,1.5
1768-HNVGJ,no,Female,1,no,no,45,yes,yes,DSL,Yes,no,no,yes,no,yes,Month-to-month,yes,Electronic check,70.05,3062.45,2.3
1768-ZAIFU,yes,Female,1,no,no,1,no,no,DSL,No,no,no,no,no,no,Month-to-month,yes,Electronic check,25.2,25.2,0.8
1769-GRUIK,no,Female,0,no,no,18,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,71.1,1247.75,2.4
1771-OADNZ,yes,Male,1,yes,no,29,yes,yes,Fiber optic,No,yes,yes,no,no,yes,Month-to-month,yes,Electronic check,95.9,2745.2,3.2
1775-KWJKQ,no,Male,0,yes,yes,72,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,no,Credit card (automatic),89.85,6562.9,3.0
1776-SPBWV,no,Female,0,yes,yes,34,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Bank transfer (automatic),20.1,682.1,0.7
1777-JYQPJ,no,Male,0,no,no,2,no,no,DSL,No,no,no,no,no,no,Month-to-month,no,Mailed check,24.3,38.45,0.8
1779-PWPMG,no,Female,1,yes,no,72,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),114.65,8333.95,3.8
1784-BXEFA,no,Female,0,no,no,10,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Mailed check,20.55,187.35,0.7
1784-EZDKJ,no,Male,0,yes,no,51,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,One year,yes,Bank transfer (automatic),106.8,5498.8,3.6
1785-BPHTP,no,Male,0,yes,yes,28,yes,no,Fiber optic,No,no,yes,no,yes,no,Month-to-month,no,Electronic check,85.45,2289.9,2.8
1790-NESIO,no,Female,0,no,no,13,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Mailed check,20.4,261.3,0.7
1791-PQHBB,no,Female,0,no,yes,2,yes,no,DSL,Yes,no,no,no,no,yes,Month-to-month,yes,Credit card (automatic),61.2,125.95,2.0
1792-UXAFY,yes,Female,1,no,no,17,yes,no,Fiber optic,No,yes,yes,no,yes,no,Month-to-month,yes,Electronic check,89.15,1496.9,3.0
1794-HBQTJ,yes,Female,0,no,no,1,yes,no,DSL,Yes,no,no,no,no,no,Month-to-month,yes,Credit card (automatic),48.6,48.6,1.6
1794-SWWKL,no,Male,0,yes,yes,15,yes,yes,DSL,No,no,yes,yes,no,no,Month-to-month,yes,Bank transfer (automatic),59.65,867.1,2.0
1796-JANOW,no,Female,0,no,no,2,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.95,38.15,0.7
1803-BGNBD,no,Female,0,no,no,12,yes,no,DSL,No,yes,no,yes,no,no,Month-to-month,yes,Electronic check,54.3,654.5,1.8
1809-DMJHQ,yes,Female,0,no,yes,5,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Mailed check,46.0,221.7,1.5
1810-BOHSY,no,Male,0,yes,no,51,yes,yes,Fiber optic,Yes,yes,no,no,no,yes,One year,yes,Credit card (automatic),96.4,4911.05,3.2
1810-MVMAI,no,Male,0,yes,yes,30,yes,yes,DSL,Yes,yes,yes,yes,no,no,Month-to-month,no,Electronic check,67.6,2000.2,2.3
1813-JLKWR,no,Female,0,yes,yes,64,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),19.8,1336.65,0.7
1813-JYWTO,no,Female,0,yes,no,72,yes,yes,Fiber optic,Yes,no,no,no,no,no,Two year,no,Bank transfer (automatic),80.45,5737.6,2.7
1814-DKOLC,no,Female,0,no,no,5,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,25.45,134.75,0.8
1814-WFGVS,no,Male,0,yes,yes,72,no,no,DSL,Yes,no,yes,yes,yes,no,Two year,no,Mailed check,48.9,3527.0,1.6
1816-FLZDK,no,Male,0,no,no,1,no,no,DSL,No,no,no,yes,no,no,Month-to-month,no,Mailed check,29.15,29.15,1.0
1818-ESQMW,no,Female,0,no,no,27,yes,no,Fiber optic,No,no,yes,yes,no,yes,Month-to-month,yes,Electronic check,89.2,2383.6,3.0
1820-DJFPH,no,Female,0,yes,yes,72,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),24.05,1709.15,0.8
1820-TQVEV,yes,Male,0,no,no,1,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,69.55,69.55,2.3
1821-BUCWY,no,Male,0,no,no,30,yes,no,DSL,Yes,no,yes,no,no,no,Two year,yes,Mailed check,55.65,1653.85,1.9
1830-GGFNM,no,Male,0,yes,yes,65,yes,yes,Fiber optic,Yes,yes,yes,yes,no,no,Two year,no,Credit card (automatic),94.55,6078.75,3.2
1830-IPXVJ,no,Female,0,yes,yes,61,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),19.75,1311.6,0.7
1832-PEUTS,no,Male,0,yes,yes,62,yes,yes,Fiber optic,No,no,yes,no,yes,no,Two year,yes,Credit card (automatic),89.1,5411.65,3.0
1833-TCXKK,no,Male,0,yes,no,45,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),107.75,4882.8,3.6
1833-VGRUM,yes,Female,1,no,no,1,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,74.2,74.2,2.5
1834-ABKHQ,no,Female,0,yes,yes,52,yes,no,DSL,No,no,yes,no,no,no,One year,yes,Bank transfer (automatic),50.95,2610.65,1.7
1834-WULEG,no,Male,0,yes,yes,24,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.25,439.75,0.7
1837-YQUCE,no,Female,0,no,no,70,no,no,DSL,Yes,no,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),58.35,4214.25,1.9
1839-FBNFR,no,Female,0,yes,yes,39,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),19.85,854.8,0.7
1839-UMACK,no,Male,0,no,no,42,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Electronic check,25.05,949.85,0.8
1840-BIUOG,no,Male,0,no,no,20,yes,yes,DSL,No,yes,no,yes,yes,no,One year,yes,Electronic check,68.7,1416.2,2.3
1841-YSJGV,no,Male,0,yes,no,72,yes,yes,Fiber optic,Yes,yes,no,yes,yes,yes,Two year,yes,Credit card (automatic),109.95,7852.4,3.7
1842-EZJMK,yes,Male,0,yes,yes,50,yes,yes,Fiber optic,No,yes,no,yes,yes,yes,Month-to-month,no,Electronic check,103.7,5071.05,3.5
1843-TLSGD,no,Female,0,yes,yes,13,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,20.85,272.35,0.7
1845-CSBRZ,no,Female,1,yes,yes,22,yes,yes,Fiber optic,No,no,no,no,yes,no,Month-to-month,no,Bank transfer (automatic),85.35,1961.6,2.8
1845-ZLLIG,no,Male,0,no,no,1,yes,no,DSL,No,yes,no,no,no,no,Month-to-month,yes,Mailed check,50.15,50.15,1.7
1846-XWOQN,yes,Female,1,no,no,1,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,70.15,70.15,2.3
1848-LBZHY,no,Female,0,yes,no,7,yes,no,DSL,Yes,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),50.3,355.1,1.7
1849-RJYIG,no,Female,0,no,no,8,yes,no,DSL,Yes,no,no,no,yes,no,Month-to-month,yes,Electronic check,60.0,487.75,2.0
1850-AKQEP,no,Male,0,no,yes,8,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.35,178.7,0.7
1852-QSWCD,no,Male,0,yes,yes,64,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Mailed check,24.8,1514.85,0.8
1852-XEMDW,no,Male,0,no,no,22,yes,yes,DSL,Yes,yes,yes,no,no,no,Month-to-month,no,Mailed check,65.05,1427.55,2.2
1853-ARAAQ,no,Female,0,no,no,26,no,no,DSL,No,no,yes,no,yes,yes,Month-to-month,yes,Credit card (automatic),50.35,1277.5,1.7
1853-UDXBW,yes,Male,0,yes,yes,1,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,70.0,70.0,2.3
1855-AGAWH,no,Male,0,yes,no,31,yes,no,Fiber optic,No,no,yes,no,yes,yes,One year,yes,Electronic check,93.8,2939.8,3.1
1855-CFULU,no,Female,1,no,no,4,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.05,91.45,0.7
1862-QRWPE,no,Female,0,yes,yes,48,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),20.65,1057.0,0.7
1862-SKORY,yes,Female,1,yes,no,40,no,no,DSL,No,yes,no,no,yes,no,Month-to-month,yes,Electronic check,39.3,1637.4,1.3
1866-DIOQZ,no,Female,0,yes,no,71,no,no,DSL,Yes,yes,yes,yes,yes,yes,One year,no,Bank transfer (automatic),66.8,4689.15,2.2
1866-NXPSP,no,Female,0,no,no,36,yes,no,DSL,Yes,yes,yes,yes,no,yes,One year,yes,Mailed check,75.55,2680.15,2.5
1866-OBPNR,no,Male,0,yes,yes,1,yes,no,Fiber optic,No,yes,no,no,no,no,Month-to-month,no,Credit card (automatic),74.6,74.6,2.5
1866-RZZQS,yes,Male,1,no,no,41,yes,yes,Fiber optic,No,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,98.4,4187.75,3.3
1866-ZSLJM,no,Male,0,no,no,21,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Credit card (automatic),20.5,402.85,0.7
1867-BDVFH,yes,Male,0,yes,yes,11,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,74.35,834.2,2.5
1867-TJHTS,no,Female,0,no,no,58,yes,yes,Fiber optic,Yes,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),79.8,4526.85,2.7
1871-MOWRM,yes,Male,0,yes,no,12,yes,no,Fiber optic,Yes,no,no,yes,no,no,Month-to-month,no,Bank transfer (automatic),80.85,866.45,2.7
1872-EBWSC,no,Female,0,no,no,29,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.35,617.35,0.7
1875-QIVME,yes,Female,0,yes,no,2,yes,yes,Fiber optic,No,no,yes,yes,yes,yes,Month-to-month,yes,Electronic check,104.4,242.8,3.5
1877-HKBQX,no,Female,0,no,no,11,yes,no,DSL,Yes,no,no,yes,no,no,One year,yes,Mailed check,54.6,617.85,1.8
1891-FZYSA,yes,Male,1,yes,no,69,yes,yes,Fiber optic,No,yes,no,no,yes,no,Month-to-month,yes,Electronic check,89.95,6143.15,3.0
1891-QRQSA,no,Male,1,yes,yes,64,yes,yes,Fiber optic,Yes,no,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),111.6,7099.0,3.7
1891-UAWWU,yes,Female,1,yes,no,20,yes,yes,Fiber optic,No,no,yes,no,yes,no,Month-to-month,no,Electronic check,90.8,1951.0,3.0
1894-IGFSG,yes,Female,0,no,no,22,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,no,Electronic check,89.25,1907.85,3.0
1895-QTKDO,no,Female,0,no,no,1,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Credit card (automatic),43.95,43.95,1.5
1897-OKVMW,no,Female,0,yes,yes,64,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,yes,Mailed check,90.6,5817.45,3.0
1897-RCFUM,no,Female,0,yes,yes,39,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Mailed check,24.2,914.6,0.8
1898-JSNDC,no,Female,0,no,no,39,yes,no,DSL,No,yes,no,no,yes,no,One year,yes,Credit card (automatic),58.6,2224.5,2.0
1899-VXWXM,yes,Male,0,no,no,48,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,One year,yes,Credit card (automatic),106.1,5082.8,3.5
1902-XBTFB,yes,Male,0,no,yes,22,yes,no,Fiber optic,No,yes,yes,no,yes,no,Month-to-month,yes,Electronic check,89.4,2001.5,3.0
1904-WAJAA,no,Female,0,yes,yes,24,yes,yes,DSL,Yes,yes,yes,no,no,no,Two year,no,Electronic check,64.35,1558.65,2.1
1905-OEILC,no,Female,0,no,no,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.5,19.5,0.6
1907-UBQFC,yes,Male,1,no,no,10,yes,no,Fiber optic,No,yes,no,no,no,no,Month-to-month,yes,Electronic check,72.85,688.65,2.4
1907-YLNYW,no,Male,0,no,no,8,yes,no,DSL,Yes,no,yes,no,no,yes,Month-to-month,yes,Electronic check,66.7,579.0,2.2
1910-FMXJM,no,Female,0,yes,no,36,yes,no,Fiber optic,No,no,no,no,no,yes,Month-to-month,no,Electronic check,80.4,2937.65,2.7
1915-IOFGU,yes,Female,0,no,no,1,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,no,Electronic check,70.5,70.5,2.4
1915-OAKWD,no,Female,0,no,yes,16,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Bank transfer (automatic),19.3,360.35,0.6
1918-ZBFQJ,yes,Female,0,no,no,13,yes,no,Fiber optic,No,yes,yes,no,no,no,Month-to-month,yes,Electronic check,79.25,1111.65,2.6
1919-RTPQD,no,Male,0,yes,yes,7,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,44.75,333.65,1.5
1921-KYSAY,no,Female,0,no,no,41,yes,yes,DSL,No,no,yes,yes,no,yes,One year,yes,Electronic check,68.6,2877.05,2.3
1925-GMVBW,no,Female,0,no,no,5,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Credit card (automatic),20.55,96.1,0.7
1925-LFCZZ,no,Male,1,no,no,55,no,no,DSL,No,no,yes,no,yes,yes,One year,yes,Bank transfer (automatic),50.05,2743.45,1.7
1925-TIBLE,yes,Female,0,yes,no,7,yes,yes,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,86.5,582.5,2.9
1926-QUZNN,no,Female,0,yes,no,72,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),25.25,1841.2,0.8
1927-QEWMY,no,Female,0,yes,no,72,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),20.5,1502.25,0.7
1928-BXYIV,no,Male,0,no,no,1,yes,yes,DSL,Yes,yes,no,no,no,no,Month-to-month,no,Electronic check,61.15,61.15,2.0
1929-ZCBHE,no,Male,0,yes,yes,47,no,no,DSL,Yes,no,yes,yes,no,no,One year,no,Electronic check,40.3,1794.8,1.3
1930-BZLHI,no,Male,0,no,no,21,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Mailed check,20.35,422.7,0.7
1930-QPBVZ,no,Male,0,yes,yes,68,yes,no,Fiber optic,Yes,yes,no,yes,no,yes,Two year,no,Bank transfer (automatic),95.1,6683.4,3.2
1930-WNXSB,no,Male,0,yes,yes,58,yes,no,Fiber optic,No,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,92.85,5305.05,3.1
1932-UEDCX,no,Male,1,yes,no,33,yes,yes,Fiber optic,No,yes,no,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),100.6,3270.25,3.4
1934-MKPXS,no,Male,0,yes,yes,33,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Credit card (automatic),20.1,620.55,0.7
1934-SJVJK,yes,Male,0,no,no,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.15,20.15,0.7
1935-IMVBB,no,Male,0,yes,no,56,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,no,Mailed check,89.7,4952.95,3.0
1936-CZAKF,no,Male,0,yes,no,49,no,no,DSL,No,yes,no,no,yes,yes,Two year,no,Credit card (automatic),49.65,2409.9,1.7
1936-UAFEH,no,Female,0,no,no,68,yes,yes,Fiber optic,Yes,yes,no,yes,yes,yes,Two year,no,Credit card (automatic),110.25,7279.35,3.7
1937-OTUKY,no,Female,0,yes,no,72,yes,yes,Fiber optic,Yes,no,yes,yes,yes,no,Two year,yes,Bank transfer (automatic),98.2,7015.9,3.3
1941-HOSAM,no,Male,0,yes,yes,1,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Electronic check,90.1,90.1,3.0
1942-OQFRW,no,Male,0,no,no,1,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,44.0,44.0,1.5
1945-XISKS,no,Female,0,yes,no,67,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,19.65,1335.2,0.7
1950-KSVVJ,no,Female,0,yes,no,45,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,One year,no,Mailed check,113.3,5032.25,3.8
1951-IEYXM,no,Male,0,yes,yes,72,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,yes,Credit card (automatic),90.6,6441.85,3.0
1952-DVVSW,no,Female,0,yes,no,10,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.1,184.4,0.7
1955-IBMMB,no,Male,0,no,no,59,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),20.2,1192.3,0.7
1956-YIFGE,no,Male,0,yes,yes,22,yes,no,Fiber optic,No,yes,yes,no,yes,yes,One year,yes,Mailed check,100.05,2090.25,3.3
1958-RNRKS,no,Male,0,yes,no,30,yes,yes,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,49.9,1441.95,1.7
1960-UOTYM,no,Male,0,yes,yes,52,yes,no,DSL,Yes,yes,yes,no,yes,yes,Two year,no,Electronic check,79.2,4016.3,2.6
1960-UYCNN,no,Male,0,no,no,10,yes,yes,Fiber optic,No,yes,yes,no,no,yes,Month-to-month,yes,Electronic check,95.25,1021.55,3.2
1963-SVUCV,yes,Male,0,no,no,1,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,45.3,45.3,1.5
1963-VAUKV,yes,Female,0,no,no,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.4,20.4,0.7
1964-SVLEA,no,Male,0,no,no,20,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Mailed check,19.7,415.9,0.7
1965-AKTSX,yes,Female,1,no,no,14,yes,yes,Fiber optic,No,yes,no,no,no,no,Month-to-month,yes,Electronic check,78.95,1101.85,2.6
1965-DDBWU,yes,Male,0,no,no,16,yes,yes,Fiber optic,No,no,no,yes,no,yes,Month-to-month,yes,Credit card (automatic),89.05,1448.6,3.0
1970-KKFWL,no,Female,0,no,no,35,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),23.3,797.1,0.8
1971-DTCZB,no,Female,0,yes,no,72,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),90.95,6468.6,3.0
1972-XMUWV,no,Female,0,yes,no,65,yes,no,DSL,No,no,no,yes,yes,no,Two year,yes,Credit card (automatic),59.8,3808.2,2.0
1976-AZZPJ,no,Male,0,yes,no,7,no,no,DSL,Yes,yes,no,no,no,no,Month-to-month,no,Mailed check,34.2,256.6,1.1
1976-CFOCS,yes,Female,1,yes,no,1,yes,no,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,46.0,46.0,1.5
1977-STDKI,yes,Female,1,no,no,1,yes,no,Fiber optic,No,yes,no,no,no,no,Month-to-month,yes,Electronic check,73.0,73.0,2.4
1980-KXVPM,yes,Female,1,no,no,3,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Credit card (automatic),75.05,256.25,2.5
1981-INRFU,yes,Female,0,no,no,2,yes,no,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,79.75,164.5,2.7
1982-FEBTD,no,Female,0,yes,yes,23,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Credit card (automatic),25.6,514.75,0.9
1984-FCOWB,yes,Female,0,yes,no,70,yes,yes,Fiber optic,No,yes,yes,yes,yes,yes,One year,yes,Electronic check,109.5,7674.55,3.6
1984-GPTEH,no,Female,0,no,no,29,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Electronic check,25.15,702.0,0.8
1985-MBRYP,no,Female,0,no,no,43,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),19.65,779.25,0.7
1986-PHGZF,no,Male,1,no,no,18,yes,yes,DSL,Yes,yes,no,no,no,no,Month-to-month,yes,Credit card (automatic),58.4,964.9,1.9
1987-AUELQ,no,Female,0,yes,no,71,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),25.05,1873.7,0.8
1989-PRJHP,yes,Male,1,yes,no,27,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,75.5,1893.95,2.5
